weight,Target_cost_euro,Date_claim_opening,Date_of_accident,Customer_code1,Customer_code3,Customer_code4,Customer_merit_class,Flag_virtuous_driver,Presence_of_black_box,Bareme_table_code_customer,Bareme_table_code_other_driver,Province_code,Region,Date_vehicle_immatriculation,Vehicle_typology,Vehicle_power_source,Vehicle_catalytic_converter,Flag_hybrid_vehicle,Vehicle_annual_distance_km,Flag_historical_vehicle,Vehicle_engine_capacity,Vehicle_engine_rpm,Vehicle_torque_kgm,Vehicle_torque_rpm,Vehicle_n_valves_cyl,Vehicle_fiscal_HP,Vehicle_price_euro,Vehicle_max_speed_kmh,Vehicle_acceleration_0_100_s,Vehicle_length_m,Vehicle_width_m,Vehicle_height_m,Vehicle_weight_kg,Vehicle_weight_full_load_kg,Vehicle_n_doors,Vehicle_n_seats,Vehicle_code_supercharging
1,907,2016-11-14,2016-11-11,C2,P,A,1,N,0,1,0,PA,SICILIA,1997-07-30,Sedan,Petrol,MC09,N,NA,N,1108,5500,8.8,3250,2,13,8160.02,150,13.8,3.227,1.487,1.435,810,1150,3,5,AS00
1,438,2017-05-17,2017-05-06,C2,P,E,1,N,1,13,14,CT,SICILIA,2012-10-17,Station wagon,Diesel,ME02,N,NA,N,1968,4200,32.6,1750,4,20,31700,202,9.9,4.385,1.831,1.59,1520,2100,5,5,TU30
1,1447,2018-05-07,2018-05-05,C2,P,A,1,N,0,0,17,VT,LAZIO,2008-04-30,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,15000,160,13,3.546,1.627,1.488,975,1305,3,4,AS00
1,1144,2015-07-03,2015-07-02,C3,P,E,1,N,0,1,14,TV,VENETO,2005-11-30,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,11050,162,13.2,3.538,1.578,1.54,935,1305,5,4,AS00
1,444,2018-12-21,2018-12-20,C3,P,E,1,N,0,0,8,CN,PIEMONTE,2013-09-30,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,14750,163,14.5,3.837,1.676,1.518,1040,1445,5,4,AS00
1,1628,2017-04-13,2017-04-11,C2,P,E,5,NA,0,0,15,FI,TOSCANA,2014-03-24,Minivan,Petrol,MC09,N,NA,N,1396,6000,14,4000,4,16,16950,169,12.9,4.075,1.765,1.6,1253,1710,5,5,AS00
1,747,2015-07-27,2015-07-22,C2,P,A,1,N,0,1,14,AN,MARCHE,2014-03-01,Minivan,Diesel,ME02,N,NA,N,1396,4000,22.4,1750,4,16,17750,167,14.5,4.075,1.765,1.6,1345,1800,5,5,TU30
1,546,2018-01-11,2018-01-08,C2,P,A,1,N,0,1,4,RM,LAZIO,2013-10-30,Sedan,Petrol,MC09,N,NA,N,1368,6000,12.2,4750,2,15,17400,165,12.3,4.063,1.72,1.446,1155,1700,3,4,AS00
1,1229,2016-05-30,2016-05-17,C2,P,E,5,N,1,1,9,RM,LAZIO,2009-10-30,Sedan,Petrol / LPG,NA,N,10000,N,1242,5000,10.4,2500,NA,14,12500,155,14,3.538,1.578,1.54,935,1305,5,4,NA
1,933,2016-05-25,2016-05-14,C4,P,A,3,N,0,1,0,CN,PIEMONTE,2009-03-23,Sedan,Diesel,MB05,N,NA,N,1248,4000,19.4,1750,4,15,13400,165,13.6,4.03,1.687,1.49,1165,1650,3,4,TU10
1,2396,2018-05-28,2018-05-25,C2,P,E,1,N,0,1,8,VA,LOMBARDIA,2008-06-19,Sedan,Petrol,MC09,N,NA,N,1149,5500,10.7,3500,4,14,12070,167,13.4,3.986,1.707,1.493,1165,1580,5,5,AS00
1,791,2016-02-22,2016-02-19,C3,P,A,1,NA,0,0,8,PV,LOMBARDIA,2006-02-23,Sedan,Diesel,MB05,N,NA,N,1399,4000,16.3,1750,2,16,12500,163,15.5,3.917,1.683,1.417,1142,1580,5,5,TU10
1,1417,2017-03-20,2017-03-12,C3,P,E,1,S,0,1,0,VR,VENETO,2016-09-30,Sedan,Diesel,ME02,N,NA,N,1995,4000,40.8,1750,4,20,40150,235,7.4,4.633,1.811,1.429,1505,2005,4,5,TU30
1,1679,2016-12-02,2016-11-07,C3,P,A,8,S,1,0,10,MI,LOMBARDIA,2007-09-28,Minivan,Petrol,MC09,N,5000,N,1242,5000,11.6,4000,4,14,15100,163,13.5,3.93,1.698,1.66,1230,1700,5,5,AS00
1,556,2016-06-10,2016-06-06,C4,P,A,1,S,1,0,14,RE,EMILIA-ROMAGNA,2013-10-29,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,15000,160,13,3.546,1.627,1.488,975,1305,3,4,AS00
1,1559,2015-11-03,2015-11-01,C2,P,A,1,N,0,0,8,VI,VENETO,2005-05-01,Sedan,Petrol,MC09,N,NA,N,1242,5000,10.4,2500,2,14,11900,155,14.3,3.865,1.66,1.48,950,1400,5,5,AS00
1,811,2017-02-22,2017-02-16,C3,P,A,1,N,0,1,14,BS,LOMBARDIA,2016-11-16,Station wagon,Diesel,ME02,N,NA,N,1968,3500,34.7,1750,4,20,39500,200,9.3,4.486,1.839,1.632,1641,2180,5,5,TU30
1,1315,2018-10-01,2018-09-27,C3,N,A,1,N,0,0,8,PR,EMILIA-ROMAGNA,2018-09-18,Sedan,Diesel,MF01,N,NA,N,2925,3400,61.2,1200,4,26,101180,250,5.8,5.255,1.899,1.494,2050,2780,4,5,TU12
1,605,2017-02-28,2017-02-25,C2,P,E,1,NA,0,1,0,CO,LOMBARDIA,2010-11-09,Sedan,LPG,NA,N,NA,N,1368,6000,11.7,3000,NA,15,14950,165,13.2,4.03,1.687,1.49,1115,1550,5,4,NA
1,1466,2015-11-20,2015-11-20,C2,P,E,1,N,0,0,10,MC,MARCHE,2013-05-27,Sedan,Petrol,MC09,S,NA,N,1798,5200,14.5,4000,4,19,28400,180,10.9,4.33,1.76,1.475,1385,1815,5,5,AS00
1,2261,2018-06-12,2018-06-01,C3,P,A,14,N,0,1,8,MB,LOMBARDIA,2012-02-01,Sedan,LPG,NA,N,NA,N,1229,5600,11.7,4000,NA,14,16650,170,13.5,3.999,1.737,1.488,1240,1605,5,5,NA
1,691,2018-07-31,2018-07-29,C2,P,A,1,S,0,1,14,CO,LOMBARDIA,2015-03-31,Sedan,Petrol,MC09,N,NA,N,1368,5500,21,3000,4,15,18850,205,7.9,3.657,1.627,1.488,1110,1425,3,4,TU10
1,1113,2017-09-19,2017-09-13,C2,P,E,1,N,0,7,6,RG,SICILIA,2003-10-02,Sedan,Diesel,MB05,N,NA,N,1995,4000,33.6,2000,4,20,34400,221,8.8,4.471,1.739,1.415,1490,1915,4,5,TU30
1,623,2018-04-06,2018-04-04,C2,P,A,1,N,0,0,3,IM,LIGURIA,2015-06-17,Sedan,Diesel,MB05,N,NA,N,1422,3000,21.4,1500,2,16,17800,173,12.9,3.972,1.682,1.453,1152,1650,3,5,TU10
1,2660,2014-03-18,2014-03-13,C2,P,A,1,S,0,1,4,MC,MARCHE,2006-01-16,Sedan,Diesel,ME02,N,NA,N,1995,4000,38.7,1750,4,20,37056.24,233,7.6,4.531,1.817,1.421,1495,1950,4,5,TU30
1,988,2017-05-09,2017-04-18,C2,P,E,1,N,0,0,8,TV,VENETO,2006-11-17,Station wagon,Petrol,MD09,N,NA,N,1994,6400,19,3200,4,20,30230,197,9.7,4.485,1.735,1.59,1390,1880,5,5,AS00
1,246,2018-05-07,2018-05-03,C2,P,A,1,N,0,1,8,PN,FRIULI-VENEZIA GIULIA,2016-10-28,Station wagon,Diesel,ME02,N,NA,N,1968,3500,34.7,1750,4,20,39000,200,9.3,4.486,1.839,1.632,1641,2180,5,5,TU30
1,951,2017-03-31,2017-03-28,C3,P,A,1,N,0,0,14,UD,FRIULI-VENEZIA GIULIA,1996-03-11,Sedan,Petrol,MC09,N,NA,N,1043,5200,7.7,2800,2,13,9025.6,145,21.4,3.715,1.625,1.42,955,1375,3,5,AS00
1,1593,2016-06-29,2016-01-16,C3,P,E,1,N,1,0,8,NA,CAMPANIA,2011-01-01,Station wagon,Diesel,ME02,N,NA,N,1461,4000,24.5,1750,2,16,22250,175,11.2,4.135,1.765,1.565,1360,1750,5,5,TU10
1,1479,2015-07-07,2015-07-04,C2,P,A,2,N,0,0,11,PU,MARCHE,2006-03-01,Minivan,Petrol,MC09,N,NA,N,1368,5800,13,4500,4,15,14710,175,11.5,3.93,1.698,1.66,1230,1700,5,5,AS00
1,1101,2017-02-07,2017-02-02,C2,P,E,1,S,1,0,8,TV,VENETO,2002-12-10,Minivan,Petrol,MC09,N,NA,N,1598,5750,15.1,3750,4,17,18890,185,11.2,4.169,1.698,1.675,1325,1800,5,5,AS00
1,2677,2015-12-18,2015-12-14,C3,P,A,10,N,0,0,8,RM,LAZIO,2010-12-03,Minivan,Petrol,MC09,N,NA,N,1368,6000,12.9,4500,4,15,18550,161,15.4,4.39,1.832,1.845,1445,1975,5,5,AS00
1,2465,2018-07-13,2018-07-09,C3,P,A,1,N,0,0,4,PV,LOMBARDIA,2007-02-14,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,12600,155,14.5,4.03,1.687,1.49,1105,1550,5,5,AS00
1,403,2015-03-20,2015-03-18,C2,P,A,2,N,0,0,14,RE,EMILIA-ROMAGNA,2004-09-01,Sedan,Petrol,MC09,N,NA,N,1246,5700,11.2,2800,2,15,13450,170,13.7,3.845,1.675,1.525,1142,1490,5,5,AS00
1,658,2015-10-30,2015-10-29,C2,P,E,1,N,0,1,15,TN,TRENTINO-ALTO ADIGE,2003-03-19,Station wagon,Diesel,MB05,N,NA,N,1870,4000,30.6,2000,2,19,26100,197,10.9,4.695,1.772,1.443,1495,1935,5,5,TU30
1,1066,2014-11-10,2014-11-07,C2,P,A,8,N,0,1,8,BG,LOMBARDIA,2011-05-30,Sedan,Petrol,MC09,N,NA,N,1397,6000,13.9,4000,4,16,14905,185,12.1,4.045,1.748,1.472,1170,1450,3,5,AS00
1,1813,2017-02-22,2016-11-20,C3,P,E,1,N,1,0,17,NA,CAMPANIA,2015-04-03,Minivan,Diesel,ME02,N,10000,N,1991,4200,25.5,1600,4,20,27970,178,11.8,4.273,1.777,1.604,1435,1880,5,5,TU10
1,880,2016-08-10,2016-08-06,C4,P,E,1,NA,0,0,14,RM,LAZIO,2010-12-13,Sedan,Petrol,MC09,N,NA,N,998,6000,9.5,3600,4,12,9750,157,13.7,3.415,1.615,1.465,915,1180,5,4,AS00
1,948,2016-09-14,2016-09-10,C3,P,A,1,N,0,0,14,CB,MOLISE,2004-05-28,Sedan,Diesel,MB05,N,NA,N,2685,4200,40.8,1800,4,24,43710,228,9.2,4.818,1.822,1.452,1665,2200,4,5,TU30
1,1314,2015-01-05,2015-01-03,C2,P,D,1,N,0,0,15,PD,VENETO,2000-06-09,Station wagon,Diesel,MB05,N,NA,N,2460,4000,29.6,1900,2,23,35500.21,200,10.7,4.71,1.804,1.465,1703,2150,5,5,TU10
1,1143,2016-05-02,2016-04-30,C2,P,D,1,S,0,0,14,VE,VENETO,1998-09-29,Sedan,Petrol,MC09,N,15000,N,1242,6000,11.5,4500,4,14,12963.06,177,10.5,3.77,1.625,1.44,985,1400,3,5,AS00
1,2357,2016-01-14,2015-12-19,C2,P,A,1,N,0,1,15,RM,LAZIO,2000-07-21,Sedan,Petrol,MC09,N,NA,N,1769,5600,16.1,2800,4,18,16249.8,173,12.8,4.184,1.706,1.442,1300,1735,5,5,AS00
1,1497,2015-06-04,2015-05-30,C2,P,E,5,N,0,1,0,PD,VENETO,2002-09-24,Sedan,Petrol,MC09,N,NA,N,1299,5500,10.8,3000,2,15,10100,167,13.7,3.62,1.631,1.368,965,1265,3,4,AS00
1,808,2016-01-25,2016-01-24,C3,P,A,3,N,0,1,14,MB,LOMBARDIA,2012-06-01,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,12250,164,14.2,3.653,1.643,1.551,1015,1420,5,4,AS00
1,592,2016-03-22,2016-03-12,C3,P,A,4,N,0,1,2,MN,LOMBARDIA,2011-02-02,Sedan,Petrol,MC09,N,NA,N,1229,5600,11.7,4000,4,14,12250,172,13.6,3.999,1.713,1.488,1130,1555,3,5,AS00
1,1224,2017-09-12,2017-09-12,C2,P,A,3,N,0,0,14,BG,LOMBARDIA,2009-03-27,Station wagon,Diesel,ME02,N,NA,N,1560,4000,24.5,1750,4,17,29025,190,11.5,4.522,1.77,1.452,1393,1900,5,5,TU30
1,887,2017-08-30,2017-08-26,C2,P,A,1,S,1,0,8,BZ,TRENTINO-ALTO ADIGE,2013-04-18,Sedan,Diesel,ME02,N,NA,N,1598,3000,25.5,1500,4,17,24400,192,10.7,4.255,1.799,1.452,1295,1810,5,5,TU10
1,695,2016-02-08,2016-02-08,C3,P,E,6,N,0,0,4,TO,PIEMONTE,2007-03-22,Sedan,Petrol,MC09,N,NA,N,1360,5400,12,3300,2,15,12475,167,14.4,4.045,1.748,1.472,1139,1450,3,5,AS00
1,452,2016-05-26,2016-05-19,C2,P,A,1,N,0,1,2,PV,LOMBARDIA,2003-04-28,Sedan,Diesel,MB05,N,NA,N,1461,4000,16.3,2000,2,16,12150,162,15,3.773,1.639,1.417,1035,1515,3,5,TU10
1,797,2015-11-27,2015-11-25,C3,P,A,1,N,0,0,8,TV,VENETO,1985-07-25,Sedan,Petrol,AC00,N,NA,N,956,5750,6.4,3000,2,12,NA,137,19.3,3.591,1.584,1.389,770,1100,3,5,AS00
1,3029,2018-03-07,2018-02-14,C2,P,A,2,N,0,1,8,PN,FRIULI-VENEZIA GIULIA,2014-08-29,Sedan,Diesel,ME02,N,NA,N,1461,4000,20.4,1750,2,16,17500,168,14.3,4.063,1.732,1.448,1146,1651,5,5,TU10
1,881,2018-03-22,2018-03-20,C2,P,U,1,S,0,1,14,VA,LOMBARDIA,2002-10-24,Station wagon,Diesel,RI05,N,NA,N,2495,4200,32.1,1950,2,23,31850,157,15.3,4.705,1.8,1.94,2150,2880,5,5,TU10
1,242,2017-01-19,2017-01-18,C2,P,A,1,N,0,1,3,PN,FRIULI-VENEZIA GIULIA,2010-12-01,Open,Diesel,ME02,N,NA,N,2987,3800,63.2,1600,4,26,59195,250,6.4,4.701,1.786,1.398,1845,2295,2,4,TU12
1,1265,2017-03-27,2017-03-22,C2,P,A,1,N,1,13,17,IM,LIGURIA,2004-07-19,Sedan,Petrol,MC09,N,NA,N,1598,6000,15.8,4000,4,17,20122,192,10.8,4.204,1.759,1.485,1346,1770,5,5,AS00
1,410,2016-06-10,2016-05-29,C2,P,E,1,N,1,1,14,VT,LAZIO,1997-02-01,Sedan,Petrol,MC09,N,5000,N,1391,5200,10.9,2400,2,16,12372.24,150,16.1,4.109,1.64,1.408,1020,1420,4,5,AS00
1,403,2018-06-20,2018-06-19,C2,P,E,1,N,0,1,4,IM,LIGURIA,2018-04-30,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,13390,163,14.5,3.837,1.676,1.518,1040,1445,5,4,AS00
1,1524,2017-03-27,2017-03-22,C4,P,E,1,N,0,0,14,PE,ABRUZZO,2007-01-25,Sedan,Petrol,MC09,N,NA,N,796,6000,7.3,4400,2,11,10020,135,21.9,3.495,1.495,1.5,900,1270,5,5,AS00
1,1267,2014-11-07,2014-11-05,C2,P,A,1,S,0,1,8,MI,LOMBARDIA,2013-03-26,Sedan,Diesel,ME02,N,NA,N,1248,4000,19.4,1500,4,15,18300,165,13,3.68,1.67,1.6,1190,1595,5,4,TU10
1,1149,2018-05-14,2018-05-12,C3,P,A,1,S,0,1,14,PD,VENETO,2013-04-09,Sedan,Petrol,MC09,N,NA,N,1197,5500,17.8,1500,4,14,20700,180,10.9,4.278,1.808,1.486,1274,1680,3,4,TV10
1,1222,2018-06-21,2018-06-15,C2,P,A,1,N,0,0,8,SV,LIGURIA,2018-05-16,Sedan,LPG,NA,N,NA,N,898,5000,14.3,2250,NA,12,12350,168,11.3,4.08,1.757,1.618,1181,1570,5,5,NA
1,745,2015-11-24,2015-11-23,C3,P,A,5,N,0,1,9,TO,PIEMONTE,2001-12-05,Sedan,Diesel,MB05,N,NA,N,1910,4000,28,2000,2,19,24466,191,9.9,4.17,1.729,1.442,1345,1790,5,5,TU10
1,1682,2015-12-09,2015-11-14,C2,P,A,1,S,1,1,14,NA,CAMPANIA,2009-09-04,Station wagon,Petrol,MC09,N,15000,N,1586,6000,15.9,4400,4,17,19510,175,11.5,4.115,1.755,1.62,1350,1700,5,5,AS00
1,1537,2018-02-20,2018-02-09,C2,P,E,2,N,0,0,8,BL,VENETO,2010-02-19,Sedan,Petrol / LPG,MC09,N,NA,N,1390,5500,11.6,3000,2,16,7350,161,13,4.02,1.746,1.534,1111,1536,5,5,AS00
1,1677,2016-07-19,2016-07-18,C2,P,A,1,N,0,1,8,NO,PIEMONTE,2005-03-07,Minivan,Diesel,MB05,N,NA,N,1686,4400,24.5,2300,4,18,19700,178,13.4,4.052,1.694,1.624,1455,1910,5,5,TU10
1,411,2015-05-12,2015-05-07,C2,P,A,10,N,0,0,8,NO,PIEMONTE,1998-01-29,Sedan,Petrol,MC09,N,15000,N,1299,5500,10.8,3000,2,15,9000,167,13.7,3.62,1.631,1.368,946,1265,3,4,AS00
1,1047,2016-06-13,2016-06-10,C2,P,E,1,N,1,1,8,MI,LOMBARDIA,2015-06-12,Sedan,Diesel,ME02,N,15000,N,1248,4000,20.4,1500,4,15,15800,180,10.7,3.546,1.627,1.488,1055,1420,3,4,TU30
1,1631,2014-10-14,2014-09-03,C2,P,A,1,N,0,9,4,RM,LAZIO,2008-07-30,Sedan,Petrol,MC09,N,10000,N,998,6000,9.5,3600,4,12,9345,157,13.7,3.43,1.63,1.47,875,1190,5,4,AS00
1,1207,2016-01-13,2015-12-09,C2,P,A,1,N,0,1,4,MS,TOSCANA,2010-11-09,Sedan,LPG,NA,N,NA,N,1229,5600,11.2,4000,NA,14,14750,168,13.9,3.999,1.737,1.488,1240,1605,5,5,NA
1,1328,2017-04-20,2017-04-13,C2,P,A,2,N,0,0,8,VA,LOMBARDIA,2000-12-14,Station wagon,Diesel,MC09,N,NA,N,2477,4000,24.5,2000,2,23,28670,150,17.1,4.295,1.885,1.875,1955,2510,3,5,TU10
1,749,2016-09-16,2016-09-15,C3,P,E,1,N,1,1,3,VT,LAZIO,2008-12-01,Station wagon,Diesel,ME02,N,NA,N,1870,3750,30.6,2000,2,19,32490,170,13.2,4.3,1.81,1.695,1705,2170,5,5,TU10
1,1020,2018-09-04,2018-09-04,C2,P,E,1,N,0,1,14,PG,UMBRIA,2004-07-01,Station wagon,Diesel,ME02,N,NA,N,1560,4000,24.5,1750,4,17,21900,183,12,4.419,1.757,1.544,1477,1984,5,5,TU30
1,488,2018-06-20,2018-06-20,C2,P,A,1,N,0,0,8,BT,PUGLIA,1991-09-01,Sedan,Petrol,AC00,N,NA,N,1781,5500,14.8,2500,2,18,12227.12,177,13.8,4.575,1.705,1.43,1210,1680,4,5,AS00
1,631,2017-07-03,2017-06-28,C3,P,E,7,N,0,0,8,PG,UMBRIA,2011-11-23,Station wagon,Diesel,ME02,N,NA,N,1995,4000,32.6,1750,4,20,31450,202,9.9,4.477,1.798,1.567,1555,2055,5,5,TU30
1,717,2018-08-08,2018-08-03,C3,P,A,1,N,0,1,3,LI,TOSCANA,2009-07-03,Sedan,Petrol,MC09,N,NA,N,1984,5300,28.5,1700,4,20,28600,240,6.9,4.213,1.786,1.501,1393,1870,3,5,TU30
1,1516,2016-06-22,2016-04-29,C2,P,A,3,N,0,1,0,AR,TOSCANA,2003-11-14,Sedan,Petrol,MC09,N,NA,N,1108,5000,9,2750,2,13,9890,150,15,3.538,1.578,1.54,915,1255,5,4,AS00
1,494,2015-11-03,2015-10-30,C3,P,A,1,N,0,1,3,PV,LOMBARDIA,2000-12-29,Sedan,Petrol,MC09,N,NA,N,1242,5000,10.4,2500,2,14,10390,158,14.1,3.723,1.69,1.435,935,1330,3,5,AS00
1,2410,2014-05-13,2014-05-10,C2,P,A,1,S,0,0,15,LO,LOMBARDIA,2008-10-15,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,11050,162,13.2,3.538,1.578,1.54,935,1305,5,4,AS00
1,557,2016-03-10,2016-03-05,C2,P,A,1,N,0,0,8,TO,PIEMONTE,2008-01-01,Sedan,Methane,NA,N,NA,N,1242,5000,10.4,2500,NA,14,14000,148,17,3.538,1.578,1.54,1125,1440,5,4,NA
1,1910,2016-09-20,2016-09-18,C3,P,E,1,N,0,1,8,SA,CAMPANIA,2015-07-28,Sedan,LPG,NA,N,NA,N,1198,6000,11.2,4000,NA,14,14600,170,13.7,3.825,1.665,1.52,1080,1425,5,5,NA
1,414,2018-01-30,2018-01-27,C3,P,A,1,N,0,0,8,RE,EMILIA-ROMAGNA,2004-05-01,Sedan,Petrol,MC09,N,NA,N,1246,5700,11.2,2800,2,15,13950,170,12.9,3.833,1.675,1.525,1155,1455,5,5,AS00
1,716,2015-10-19,2015-10-17,C2,P,A,1,N,0,1,0,BS,LOMBARDIA,2015-07-31,Sedan,Diesel,MF02,N,NA,N,1496,4000,27.5,1750,4,16,28200,200,10.3,4.329,1.765,1.421,1440,1885,5,5,TU30
1,1174,2018-05-10,2018-05-04,C3,P,A,1,N,0,1,14,MB,LOMBARDIA,2017-04-28,Sedan,Petrol,MC09,N,NA,N,1368,5500,21,3000,4,15,19990,207,8,3.657,1.627,1.488,1110,1425,3,4,TU10
1,1689,2017-04-27,2017-04-21,C2,P,A,1,N,0,0,8,VA,LOMBARDIA,2016-08-31,Sedan,Diesel,ME02,N,NA,N,1248,4000,20.4,1750,4,15,19400,174,15.1,4.29,1.753,1.435,1320,1795,3,5,TU10
1,1866,2017-06-05,2017-05-25,C3,P,A,1,N,0,0,15,CE,CAMPANIA,2008-06-27,Sedan,Petrol,MC09,N,NA,N,1242,5500,10.4,3000,2,14,12160,155,14.5,4.03,1.687,1.49,1105,1550,5,5,AS00
